Prénom,Nom,Nationalité ,Numéro ,Poste ,Matchs joué,Minutes jouées ,Buts encaissés ,But marqués ,WSL - matchs joués ,WSL - Minutes jouées ,WSL - Buts encaissés ,WSL - Buts marqués ,WSL - Assistances,Women's champions league - matchs joués ,Women's champions league - Minutes jouées ,Women's champions league - Buts encaissés ,Women's champions league - Buts marqués ,Women's champions league - Assistances,Women's League Cup - matchs joués ,Women's League Cup - Minutes jouées ,Women's League Cup - Buts encaissés ,Women's League Cup - Buts marqués ,Women's League Cup - Assistances,FA CUP (women)  - matchs joués ,FA CUP (women)  - Minutes jouées ,FA CUP (women) - Buts encaissés ,FA CUP (women)  - Buts marqués ,FA CUP (women)  - Assistances
Manuela,Zinsberger,Autriche ,1,Gardienne ,18,1620,27,0,7,630,16,0,0,8,720,11,0,0,1,90,0,0,0,2,180,0,0,0
Daphne ,Van Domselaar,Pays-Bas,14,Gardienne ,24,2160,17,0,15,1350,10,0,0,7,630,4,0,0,1,90,2,0,0,1,90,1,0,0
Naomi,Williams,Angleterre ,40,Gardienne ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emily,Fox,États-Unis,2,Défenseuse,34,2957,0,2,21,1890,0,1,2,10,895,0,1,0,2,128,0,0,0,1,44,0,0,0
Lotte,Wubben-Moy,Angleterre ,3,Défenseuse,19,967,0,1,11,523,0,1,0,4,95,0,0,0,2,180,0,0,0,2,169,0,0,0
Laia,Codina,Espagne ,5,Défenseuse,14,942,0,2,7,409,0,0,0,4,274,0,1,0,1,79,0,0,0,2,180,0,1,0
Leah,Williamson,Angleterre ,6,Défenseuse,33,2734,0,2,19,1585,0,2,0,10,900,0,0,0,2,106,0,0,0,2,143,0,0,0
Seph,Catley,Australie,7,Défenseuse,32,2564,0,0,19,1581,0,0,0,10,773,0,0,0,1,74,0,0,0,2,136,0,0,1
Katie,McCabe,République d'Irlande,11,Défenseuse,35,2903,0,2,20,1671,0,1,5,11,936,0,0,2,2,106,0,1,0,2,190,0,0,0
Jenna,Nighswonger,États-Unis,22,Défenseuse,5,214,0,0,4,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0
Amanda,Ilestedt,Suède,28,Défenseuse,6,39,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0
Katie,Reid,Angleterre ,62,Défenseuse,13,427,0,0,7,131,0,0,1,3,70,0,0,0,1,57,0,0,0,2,169,0,0,0
Mariona,Caldentey,Espagne ,8,Milieu de terrain,37,3050,0,18,21,1774,0,9,5,11,908,0,7,2,2,129,0,2,2,3,239,0,0,0
Kim,Little,Écosse,10,Milieu de terrain,31,2162,0,1,20,1212,0,1,5,10,867,0,0,0,0,0,0,0,0,1,83,0,0,0
Frida,Maanum,Norgève,12,Milieu de terrain,38,2334,0,11,22,1310,0,7,2,11,636,0,2,2,2,164,0,1,0,3,224,0,1,0
Lia,Wälti,Suisse,13,Milieu de terrain,30,1602,0,0,18,995,0,0,0,7,387,0,0,0,2,138,0,0,0,3,82,0,0,0
Victoria,Pelova,Pays-Bas,21,Milieu de terrain,6,141,0,1,5,134,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyra,Cooney-Cross,Australie,32,Milieu de terrain,30,1631,0,1,19,973,0,0,2,6,261,0,0,1,2,180,0,1,0,3,217,0,0,0
Beth,Mead,Angleterre ,9,Attaquante,34,1747,0,9,21,1203,0,7,3,10,363,0,0,1,1,56,0,0,0,2,125,0,2,1
Rose,Kafaji,Suède,16,Attaquante,12,303,0,1,10,123,0,1,0,0,0,0,0,0,1,90,0,0,0,1,90,0,0,0
Lina,Hurtig,Suède,17,Attaquante,12,121,0,2,5,54,0,1,0,7,67,0,1,0,0,0,0,0,0,0,0,0,0,0
Chloe,Kelly,Angleterre ,18,Attaquante,22,1058,0,2,14,676,0,2,3,8,382,0,0,3,0,0,0,0,0,0,0,0,0,0
Caitlin,Foord,Australie,19,Attaquante,34,2272,0,9,20,1244,0,6,2,11,854,0,3,3,1,16,0,0,0,2,158,0,0,0
Alessia ,Russo,Angleterre ,23,Attaquante,37,2893,0,19,21,1686,0,12,2,11,847,0,7,2,2,169,0,0,1,3,191,0,0,0
Stina,Blackstenius,Suède,25,Attaquante,35,1349,0,11,19,728,0,5,3,11,398,0,2,1,2,106,0,0,0,3,117,0,4,0